mesure_dt,area_nm,city,fact_manage_nm,fact_adres,stack_code,hcl_mesure_value,nox_mesure_value,sox_mesure_value,co_mesure_value,tsp_mesure_value,nh3_mesure_value,hf_mesure_value,hcl_exhst_perm_stdr_value,nox_exhst_perm_stdr_value,sox_exhst_perm_stdr_value,co_exhst_perm_stdr_value,tsp_exhst_perm_stdr_value,collected_at
2026-07-10 20:30,충청북도,음성군,KBI메탈㈜ 음성공장,충청북도 음성군 대소면 대소산단로 66,1,,0.00,,,,,,,105,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,KBI메탈㈜ 음성공장,충청북도 음성군 대소면 대소산단로 66,3,,0.49,,,,,,,105,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,㈜다나에너지솔루션,충청북도 청주시 청원구 오창읍 여천3길 166,1,0.40,8.24,0.00,3.89,1.18,,,9.6,42.5,16,40,12,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,㈜삼보광업 단양지점,충청북도 단양군 매포읍 매포어상천로 67-10,2,,82.15,,,,,,,170,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,㈜삼보광업 단양지점,충청북도 단양군 매포읍 매포어상천로 67-10,3,,73.85,,,,,,,170,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,㈜삼보광업 단양지점,충청북도 단양군 매포읍 매포어상천로 67-10,5,,76.94,,,,,,,80,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,충주시,㈜삼일씨엔에스 충주,충청북도 충주시 충주산단2로 121,7,,15.72,,,,,,,100,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,㈜삼현,충청북도 음성군 생극면 음성로 1706,10,,16.05,,,,,,,150,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,㈜삼현,충청북도 음성군 생극면 음성로 1706,2,,0.01,,,,,,,150,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,㈜삼현,충청북도 음성군 생극면 음성로 1706,3,,0.00,,,,,,,150,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,㈜삼현,충청북도 음성군 생극면 음성로 1706,9,,25.76,,,,,,,150,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,진천군,㈜서호 용해공장,충청북도 진천군 이월면 성중로 377,2,,0.00,,,,,,,195,,,,2026-07-10 22:05:32
