tm,stnId,stnNm,wd,ws,ta,hm,pa,icsr,ss,dc10Tca,rn
2026-06-16 00:00,131,청주,230,1.0,25.6,51,1007.4,,,4,
2026-06-16 01:00,131,청주,0,0.4,24.7,55,1007.4,,,0,
2026-06-16 02:00,131,청주,0,0.2,24.3,57,1007.0,,,7,
2026-06-16 03:00,131,청주,140,0.9,23.8,58,1006.7,,,6,
2026-06-16 04:00,131,청주,0,0.1,23.0,66,1006.5,,,6,
2026-06-16 05:00,131,청주,270,1.5,22.7,62,1007.2,,,7,
2026-06-16 06:00,131,청주,0,0.4,22.7,60,1007.7,0.05,0.0,7,
2026-06-16 07:00,131,청주,110,0.6,23.5,56,1007.8,0.41,0.4,4,
2026-06-16 08:00,131,청주,70,1.9,24.8,53,1007.9,1.24,1.0,3,
2026-06-16 09:00,131,청주,90,0.8,26.2,50,1008.2,1.97,1.0,5,
2026-06-16 10:00,131,청주,110,2.0,27.6,39,1007.8,2.54,1.0,1,
2026-06-16 11:00,131,청주,110,2.1,29.4,35,1007.4,3.27,1.0,1,
2026-06-16 12:00,131,청주,160,2.1,30.0,34,1006.7,3.66,1.0,3,
2026-06-16 13:00,131,청주,160,2.8,30.7,34,1005.8,3.48,1.0,3,
2026-06-16 14:00,131,청주,110,2.8,31.8,30,1005.0,3.68,1.0,3,
2026-06-16 15:00,131,청주,160,2.2,32.6,28,1004.9,3.39,1.0,1,
2026-06-16 16:00,131,청주,140,2.5,32.0,31,1004.5,2.86,1.0,0,
2026-06-16 17:00,131,청주,140,3.1,31.8,32,1004.2,2.15,1.0,0,
2026-06-16 18:00,131,청주,90,2.2,31.7,33,1004.0,1.42,1.0,0,
2026-06-16 19:00,131,청주,90,2.0,31.2,34,1004.3,0.67,1.0,2,
2026-06-16 20:00,131,청주,110,2.1,30.3,35,1004.3,0.08,0.1,0,
2026-06-16 21:00,131,청주,140,1.1,29.7,37,1004.5,,,0,
2026-06-16 22:00,131,청주,140,1.9,28.3,43,1004.9,,,0,
2026-06-16 23:00,131,청주,140,1.3,27.6,47,1005.1,,,0,
2026-06-17 00:00,131,청주,140,1.7,26.7,50,1005.2,,,0,
2026-06-17 01:00,131,청주,140,0.5,26.0,53,1005.3,,,0,
2026-06-17 02:00,131,청주,180,0.7,25.2,56,1004.9,,,0,
2026-06-17 03:00,131,청주,140,0.7,24.7,58,1004.7,,,2,
2026-06-17 04:00,131,청주,140,1.3,24.3,60,1005.2,,,4,
2026-06-17 05:00,131,청주,0,0.4,24.3,60,1005.4,,,8,
2026-06-17 06:00,131,청주,140,0.6,24.4,59,1005.2,0.05,0.2,5,
2026-06-17 07:00,131,청주,0,0.3,24.8,62,1005.0,0.55,0.9,1,
2026-06-17 08:00,131,청주,160,1.9,25.4,56,1004.9,1.03,0.4,8,
2026-06-17 09:00,131,청주,180,1.0,26.0,56,1005.1,1.11,0.1,8,
2026-06-17 10:00,131,청주,140,1.7,27.8,50,1004.5,2.08,0.4,7,
2026-06-17 11:00,131,청주,180,1.2,29.1,48,1004.1,2.41,0.4,6,
2026-06-17 12:00,131,청주,270,1.9,31.7,43,1003.5,3.63,1.0,3,
2026-06-17 13:00,131,청주,250,1.8,31.6,40,1002.7,3.67,0.9,4,
2026-06-17 14:00,131,청주,200,2.1,33.1,34,1001.6,3.52,1.0,2,
2026-06-17 15:00,131,청주,140,1.6,32.7,35,1001.5,2.96,0.7,9,
2026-06-17 16:00,131,청주,230,1.0,30.1,51,1001.5,0.95,0.0,9,0.2
2026-06-17 17:00,131,청주,270,1.3,30.2,45,1001.2,0.54,0.0,9,0.0
2026-06-17 18:00,131,청주,230,2.7,27.3,58,1001.7,0.13,0.0,9,0.0
2026-06-17 19:00,131,청주,270,1.6,23.5,84,1002.8,0.01,0.0,9,3.1
2026-06-17 20:00,131,청주,250,1.1,23.2,87,1003.0,0.0,0.0,10,1.8
2026-06-17 21:00,131,청주,200,1.3,22.9,86,1003.1,,,9,0.2
2026-06-17 22:00,131,청주,140,1.1,23.3,82,1002.9,,,9,0.0
2026-06-17 23:00,131,청주,0,0.3,23.3,82,1002.5,,,7,
2026-06-18 00:00,131,청주,270,0.8,23.0,87,1002.7,,,7,
2026-06-18 01:00,131,청주,270,0.7,22.8,87,1002.8,,,7,
2026-06-18 02:00,131,청주,0,0.3,23.3,84,1002.6,,,9,
2026-06-18 03:00,131,청주,270,1.2,22.7,87,1002.5,,,8,
2026-06-18 04:00,131,청주,270,0.9,22.8,84,1002.5,,,7,
2026-06-18 05:00,131,청주,250,0.7,22.7,86,1002.5,,,10,
2026-06-18 06:00,131,청주,270,0.8,22.8,85,1002.1,0.03,0.0,5,
2026-06-18 07:00,131,청주,290,1.0,23.3,80,1002.4,0.34,0.2,7,
2026-06-18 08:00,131,청주,230,0.5,24.1,77,1002.6,0.73,0.0,9,
2026-06-18 09:00,131,청주,270,1.3,25.3,71,1002.3,1.23,0.0,9,
2026-06-18 10:00,131,청주,270,0.8,26.3,66,1002.0,1.45,0.0,9,
2026-06-18 11:00,131,청주,320,1.4,27.5,63,1002.0,1.64,0.0,9,
2026-06-18 12:00,131,청주,360,1.1,29.3,56,1001.8,2.42,0.2,7,
